,Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Technology,Ownership,Nameplate Capacity (MW),Plant Balance,Retirement Year,Total Cost of Electricity Excluding ADIT ($/MWh),Current Designation,Predicted Retirement Year,Profits,CF Offset,Owner #1,% Owned #1,Owner #2,% Owned #2,Owner #3,% Owned #3,Owner #4,% Owned #4,Owner #5,% Owned #5
4732,14015,Ohio Valley Electric Corp,2876.0,Kyger Creek,OH,4,Conventional Steam Coal,S,217.3,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
4733,14015,Ohio Valley Electric Corp,2876.0,Kyger Creek,OH,5,Conventional Steam Coal,S,217.3,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
4752,5336,City of Dover - (OH),2914.0,Dover,OH,3,Conventional Steam Coal,S,8.0,,,,2020 Vulnerable,2020.0,,,,,,,,,,,,
4753,5336,City of Dover - (OH),2914.0,Dover,OH,4,Conventional Steam Coal,S,19.5,,,,2020 Vulnerable,2020.0,,,,,,,,,,,,
4775,14194,City of Orrville - (OH),2935.0,Orrville,OH,10,Conventional Steam Coal,S,25.0,,,,,,,,,,,,,,,,,
4777,14194,City of Orrville - (OH),2935.0,Orrville,OH,7,Conventional Steam Coal,S,5.0,,,,2020 Vulnerable,2020.0,,,,,,,,,,,,
4778,14194,City of Orrville - (OH),2935.0,Orrville,OH,8,Conventional Steam Coal,S,7.5,,,,2020 Vulnerable,2020.0,,,,,,,,,,,,
4779,14194,City of Orrville - (OH),2935.0,Orrville,OH,9,Conventional Steam Coal,S,22.0,,,,2020 Vulnerable,2020.0,,,,,,,,,,,,
4780,14381,City of Painesville,2936.0,Painesville,OH,3,Conventional Steam Coal,S,7.5,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
4781,14381,City of Painesville,2936.0,Painesville,OH,5,Conventional Steam Coal,S,16.5,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
4782,14381,City of Painesville,2936.0,Painesville,OH,7,Conventional Steam Coal,S,22.0,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
4783,14381,City of Painesville,2936.0,Painesville,OH,ST2,Conventional Steam Coal,S,7.5,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
4801,14063,Oklahoma Gas & Electric Co,2952.0,Muskogee,OK,4,Conventional Steam Coal,S,572.0,,,,Announced,,,,,,,,,,,,,
4802,14063,Oklahoma Gas & Electric Co,2952.0,Muskogee,OK,5,Conventional Steam Coal,S,572.0,,,,Announced,,-4.0,-39.0,,,,,,,,,,
4803,14063,Oklahoma Gas & Electric Co,2952.0,Muskogee,OK,6,Conventional Steam Coal,S,572.0,,,,2020 Vulnerable,2030.0,1.0,-30.0,,,,,,,,,,
4821,15474,Public Service Co of Oklahoma,2963.0,Northeastern,OK,3,Conventional Steam Coal,S,473.0,,,,Announced,,,,,,,,,,,,,
5055,15873,GenOn Northeast Management Company,3118.0,Conemaugh,PA,1,Conventional Steam Coal,J,936.0,,,,Other Remaining,,,,PSEG Fossil LLC,0.225,TalenEnergy Montour LLC,0.1625,NRG REMA LLC,0.1645,ArcLight Capital Partners LLC,0.3511,,
5056,15873,GenOn Northeast Management Company,3118.0,Conemaugh,PA,2,Conventional Steam Coal,J,936.0,,,,Other Remaining,,,,PSEG Fossil LLC,0.225,TalenEnergy Montour LLC,0.1625,NRG REMA LLC,0.1645,ArcLight Capital Partners LLC,0.3511,,
5062,58615,NRG Homer City Services LLC,3122.0,Homer City Generating Station,PA,1,Conventional Steam Coal,S,660.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5063,58615,NRG Homer City Services LLC,3122.0,Homer City Generating Station,PA,2,Conventional Steam Coal,S,660.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5064,58615,NRG Homer City Services LLC,3122.0,Homer City Generating Station,PA,3,Conventional Steam Coal,S,692.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5068,54885,NRG Wholesale Generation LP,3130.0,Seward (PA),PA,FB1,Conventional Steam Coal,W,585.0,,,,Other Remaining,,,,"Seward Generation, LLC",1.0,,,,,,,,
5077,15873,GenOn Northeast Management Company,3136.0,Keystone,PA,1,Conventional Steam Coal,J,936.0,,,,Other Remaining,,,,PSEG Fossil LLC,0.2284,TalenEnergy Montour LLC,0.1234,NRG REMA LLC,0.1667,ArcLight Capital Partners LLC,0.4445,,
5078,15873,GenOn Northeast Management Company,3136.0,Keystone,PA,2,Conventional Steam Coal,J,936.0,,,,Other Remaining,,,,PSEG Fossil LLC,0.2284,TalenEnergy Montour LLC,0.1234,NRG REMA LLC,0.1667,ArcLight Capital Partners LLC,0.4445,,
5092,15537,Brunner Island LLC,3140.0,Brunner Island,PA,1,Natural Gas Steam Turbine,S,363.3,,,,Announced,,,,,,,,,,,,,
5093,15537,Brunner Island LLC,3140.0,Brunner Island,PA,2,Natural Gas Steam Turbine,S,405.0,,,,Announced,,,,,,,,,,,,,
5094,15537,Brunner Island LLC,3140.0,Brunner Island,PA,3,Natural Gas Steam Turbine,S,847.8,,,,Announced,,,,,,,,,,,,,
5128,15534,TalenEnergy Montour LLC,3149.0,TalenEnergy Montour,PA,1,Conventional Steam Coal,S,864.9,,,,2020 Vulnerable,2029.0,,,,,,,,,,,,
5129,15534,TalenEnergy Montour LLC,3149.0,TalenEnergy Montour,PA,11,Conventional Steam Coal,S,17.2,,,,,,,,,,,,,,,,,
5130,15534,TalenEnergy Montour LLC,3149.0,TalenEnergy Montour,PA,2,Conventional Steam Coal,S,893.0,,,,2020 Vulnerable,2029.0,,,,,,,,,,,,
5322,17539,South Carolina Electric&Gas Company,3295.0,Urquhart,SC,3,Natural Gas Steam Turbine,S,100.0,51108407.55,2028.0,112.13464340000002,,,,,,,,,,,,,,
5329,17539,South Carolina Electric&Gas Company,3297.0,Wateree,SC,1,Conventional Steam Coal,S,385.9,,,,Other Remaining,,,,,,,,,,,,,
5330,17539,South Carolina Electric&Gas Company,3297.0,Wateree,SC,2,Conventional Steam Coal,S,385.9,,,,Other Remaining,,,,,,,,,,,,,
5333,17554,"South Carolina Genertg Co, Inc",3298.0,Williams,SC,ST1,Conventional Steam Coal,S,659.7,2021965.176,2057.0,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5399,18642,Tennessee Valley Authority,3393.0,Allen,TN,1,Conventional Steam Coal,S,330.0,,,,,,,,,,,,,,,,,
5400,18642,Tennessee Valley Authority,3393.0,Allen,TN,2,Conventional Steam Coal,S,330.0,,,,,,,,,,,,,,,,,
5401,18642,Tennessee Valley Authority,3393.0,Allen,TN,3,Conventional Steam Coal,S,330.0,,,,,,,,,,,,,,,,,
5427,18642,Tennessee Valley Authority,3396.0,Bull Run,TN,1,Conventional Steam Coal,S,950.0,,,,,,,,,,,,,,,,,
5436,18642,Tennessee Valley Authority,3399.0,Cumberland (TN),TN,1,Conventional Steam Coal,S,1300.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5437,18642,Tennessee Valley Authority,3399.0,Cumberland (TN),TN,2,Conventional Steam Coal,S,1300.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5448,18642,Tennessee Valley Authority,3403.0,Gallatin (TN),TN,1,Conventional Steam Coal,S,300.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5449,18642,Tennessee Valley Authority,3403.0,Gallatin (TN),TN,2,Conventional Steam Coal,S,300.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5450,18642,Tennessee Valley Authority,3403.0,Gallatin (TN),TN,3,Conventional Steam Coal,S,327.6,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5451,18642,Tennessee Valley Authority,3403.0,Gallatin (TN),TN,4,Conventional Steam Coal,S,327.6,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5486,18642,Tennessee Valley Authority,3407.0,Kingston,TN,1,Conventional Steam Coal,S,175.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5487,18642,Tennessee Valley Authority,3407.0,Kingston,TN,2,Conventional Steam Coal,S,175.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5488,18642,Tennessee Valley Authority,3407.0,Kingston,TN,3,Conventional Steam Coal,S,175.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5489,18642,Tennessee Valley Authority,3407.0,Kingston,TN,4,Conventional Steam Coal,S,175.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5490,18642,Tennessee Valley Authority,3407.0,Kingston,TN,5,Conventional Steam Coal,S,200.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5491,18642,Tennessee Valley Authority,3407.0,Kingston,TN,6,Conventional Steam Coal,S,200.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5492,18642,Tennessee Valley Authority,3407.0,Kingston,TN,7,Conventional Steam Coal,S,200.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5493,18642,Tennessee Valley Authority,3407.0,Kingston,TN,8,Conventional Steam Coal,S,200.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5494,18642,Tennessee Valley Authority,3407.0,Kingston,TN,9,Conventional Steam Coal,S,200.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
5607,54888,NRG Texas Power LLC,3470.0,W A Parish,TX,5,Conventional Steam Coal,S,734.1,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
5608,54888,NRG Texas Power LLC,3470.0,W A Parish,TX,6,Conventional Steam Coal,S,734.1,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
5609,54888,NRG Texas Power LLC,3470.0,W A Parish,TX,7,Conventional Steam Coal,S,614.6,,,,Other Remaining,,,,,,,,,,,,,
5610,54888,NRG Texas Power LLC,3470.0,W A Parish,TX,8,Conventional Steam Coal,S,654.0,,,,Other Remaining,,,,,,,,,,,,,
5647,55983,Luminant Generation Company LLC,3497.0,Big Brown,TX,1,Conventional Steam Coal,S,593.4,,,,,,,,,,,,,,,,,
5648,55983,Luminant Generation Company LLC,3497.0,Big Brown,TX,2,Conventional Steam Coal,S,593.4,,,,,,,,,,,,,,,,,
5906,19876,Virginia Electric & Power Co,3797.0,Chesterfield,VA,3,Conventional Steam Coal,S,112.5,8369820.893999999,2022.0,206.45100980000004,,,,,,,,,,,,,,
5907,19876,Virginia Electric & Power Co,3797.0,Chesterfield,VA,4,Conventional Steam Coal,S,187.5,74814067.1,2030.0,65.48963826,,,,,,,,,,,,,,
5908,19876,Virginia Electric & Power Co,3797.0,Chesterfield,VA,5,Conventional Steam Coal,S,359.0,214535356.4,2034.0,65.17684742,2020 Vulnerable,2023.0,,,,,,,,,,,,
5909,19876,Virginia Electric & Power Co,3797.0,Chesterfield,VA,6,Conventional Steam Coal,S,693.9,651482818.7,2039.0,69.50954952,2020 Vulnerable,2023.0,,,,,,,,,,,,
5945,19876,Virginia Electric & Power Co,3809.0,Yorktown,VA,1,Conventional Steam Coal,S,187.5,,,,,,,,,,,,,,,,,
5946,19876,Virginia Electric & Power Co,3809.0,Yorktown,VA,2,Conventional Steam Coal,S,187.5,,,,,,,,,,,,,,,,,
5947,19876,Virginia Electric & Power Co,3809.0,Yorktown,VA,3,Petroleum Liquids,S,882.0,157073847.6,2044.0,321.21045360000005,,,,,,,,,,,,,,
5968,19099,TransAlta Centralia Gen LLC,3845.0,Transalta Centralia Generation,WA,1,Conventional Steam Coal,S,729.9,,,,Announced,,,,,,,,,,,,,
5969,19099,TransAlta Centralia Gen LLC,3845.0,Transalta Centralia Generation,WA,2,Conventional Steam Coal,S,729.9,,,,Announced,,,,,,,,,,,,,
6146,733,Appalachian Power Co,3935.0,John E Amos,WV,1,Conventional Steam Coal,S,816.3,,,,Other Remaining,,,,,,,,,,,,,
6147,733,Appalachian Power Co,3935.0,John E Amos,WV,2,Conventional Steam Coal,S,816.3,,,,Other Remaining,,,,,,,,,,,,,
6148,733,Appalachian Power Co,3935.0,John E Amos,WV,3,Conventional Steam Coal,S,1300.0,,,,Other Remaining,,,,,,,,,,,,,
6149,12796,Monongahela Power Co,3943.0,FirstEnergy Fort Martin Power Station,WV,1,Conventional Steam Coal,S,576.0,,,,Other Remaining,,,,,,,,,,,,,
6150,12796,Monongahela Power Co,3943.0,FirstEnergy Fort Martin Power Station,WV,2,Conventional Steam Coal,S,576.0,,,,Other Remaining,,,,,,,,,,,,,
6151,23279,Allegheny Energy Supply Co LLC,3944.0,FirstEnergy Harrison Power Station,WV,1,Conventional Steam Coal,W,684.0,,,,Other Remaining,,,,Monongahela Power Co,1.0,,,,,,,,
6152,23279,Allegheny Energy Supply Co LLC,3944.0,FirstEnergy Harrison Power Station,WV,2,Conventional Steam Coal,W,684.0,,,,Other Remaining,,,,Monongahela Power Co,1.0,,,,,,,,
6153,23279,Allegheny Energy Supply Co LLC,3944.0,FirstEnergy Harrison Power Station,WV,3,Conventional Steam Coal,W,684.0,,,,Other Remaining,,,,Monongahela Power Co,1.0,,,,,,,,
6154,22053,Kentucky Power Co,3948.0,Mitchell (WV),WV,1,Conventional Steam Coal,J,816.3,,,,Other Remaining,,,,Wheeling Power Co,0.5,Kentucky Power Co,0.5,,,,,,
6155,22053,Kentucky Power Co,3948.0,Mitchell (WV),WV,2,Conventional Steam Coal,J,816.3,,,,Other Remaining,,,,Wheeling Power Co,0.5,Kentucky Power Co,0.5,,,,,,
6156,19876,Virginia Electric & Power Co,3954.0,Mt Storm,WV,1,Conventional Steam Coal,S,570.2,295221400.7,2035.0,47.566236700000005,Other Remaining,,,,,,,,,,,,,
6157,19876,Virginia Electric & Power Co,3954.0,Mt Storm,WV,2,Conventional Steam Coal,S,570.2,315378267.8,2036.0,48.40792705,Other Remaining,,,,,,,,,,,,,
6158,19876,Virginia Electric & Power Co,3954.0,Mt Storm,WV,3,Conventional Steam Coal,S,522.0,405042699.8,2043.0,58.02377079,Other Remaining,,,,,,,,,,,,,
6298,20847,Wisconsin Electric Power Co,4041.0,South Oak Creek,WI,5,Conventional Steam Coal,S,299.2,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
6299,20847,Wisconsin Electric Power Co,4041.0,South Oak Creek,WI,6,Conventional Steam Coal,S,299.2,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
6300,20847,Wisconsin Electric Power Co,4041.0,South Oak Creek,WI,7,Conventional Steam Coal,S,317.6,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
6301,20847,Wisconsin Electric Power Co,4041.0,South Oak Creek,WI,8,Conventional Steam Coal,S,324.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
6316,20856,Wisconsin Power & Light Co,4050.0,Edgewater,WI,4,Conventional Steam Coal,J,351.0,26336859.43,2028.0,40.94119651,,,,,Wisconsin Power & Light Co,0.682,Wisconsin Public Service Corp,0.318,,,,,,
6317,20856,Wisconsin Power & Light Co,4050.0,Edgewater,WI,5,Conventional Steam Coal,S,413.7,251681124.6,2040.0,56.63391429,Other Remaining,,,,,,,,,,,,,
6330,20856,Wisconsin Power & Light Co,4057.0,Rock River,WI,3,Natural Gas Fired Combustion Turbine,S,37.5,-507422.5366,2018.0,,,,,,,,,,,,,,,
6331,20856,Wisconsin Power & Light Co,4057.0,Rock River,WI,4,Natural Gas Fired Combustion Turbine,S,18.0,-373778.5859,2018.0,753.4151149,,,,,,,,,,,,,,
6332,20856,Wisconsin Power & Light Co,4057.0,Rock River,WI,5,Natural Gas Fired Combustion Turbine,S,56.7,-1427803.386,2018.0,132.5235327,,,,,,,,,,,,,,
6333,20856,Wisconsin Power & Light Co,4057.0,Rock River,WI,6,Natural Gas Fired Combustion Turbine,S,56.7,-1517165.4919999999,2018.0,117.8526267,,,,,,,,,,,,,,
6359,20860,Wisconsin Public Service Corp,4072.0,Pulliam,WI,7,Conventional Steam Coal,S,81.6,-1931791.154,2030.0,42.60470233,,,,,,,,,,,,,,
6360,20860,Wisconsin Public Service Corp,4072.0,Pulliam,WI,8,Conventional Steam Coal,S,149.6,-12072958.72,2030.0,30.27330766,,,,,,,,,,,,,,
6372,20860,Wisconsin Public Service Corp,4078.0,Weston,WI,3,Conventional Steam Coal,S,350.5,-53543835.03,2041.0,28.3852234,2025 Vulnerable,2030.0,,,,,,,,,,,,
6375,20860,Wisconsin Public Service Corp,4078.0,Weston,WI,4,Conventional Steam Coal,J,595.0,400748062.8,2046.0,59.09258413,Other Remaining,,,,Dairyland Power Coop,0.3,Wisconsin Public Service Corp,0.7,,,,,,
6433,11571,Manitowoc Public Utilities,4125.0,Manitowoc,WI,5,Wood/Wood Waste Biomass,S,22.0,,,,Other Remaining,,,,,,,,,,,,,
6434,11571,Manitowoc Public Utilities,4125.0,Manitowoc,WI,6,Wood/Wood Waste Biomass,S,32.0,,,,Other Remaining,,,,,,,,,,,,,
6435,11571,Manitowoc Public Utilities,4125.0,Manitowoc,WI,9,Petroleum Coke,S,63.4,,,,Other Remaining,,,,,,,,,,,,,
6445,4716,Dairyland Power Coop,4143.0,Genoa,WI,ST3,Conventional Steam Coal,S,345.6,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
6455,14354,PacifiCorp,4158.0,Dave Johnston,WY,1,Conventional Steam Coal,S,133.6,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
6456,14354,PacifiCorp,4158.0,Dave Johnston,WY,2,Conventional Steam Coal,S,133.6,,,,2020 Vulnerable,2027.0,,,,,,,,,,,,
6457,14354,PacifiCorp,4158.0,Dave Johnston,WY,3,Conventional Steam Coal,S,255.0,,,,2020 Vulnerable,2027.0,,,,,,,,,,,,
6458,14354,PacifiCorp,4158.0,Dave Johnston,WY,4,Conventional Steam Coal,S,400.0,,,,2020 Vulnerable,2027.0,,,,,,,,,,,,
6459,14354,PacifiCorp,4162.0,Naughton,WY,1,Conventional Steam Coal,S,192.0,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
6460,14354,PacifiCorp,4162.0,Naughton,WY,2,Conventional Steam Coal,S,256.0,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
6461,14354,PacifiCorp,4162.0,Naughton,WY,3,Conventional Steam Coal,S,384.0,,,,,,,,,,,,,,,,,
6510,4716,Dairyland Power Coop,4271.0,John P Madgett,WI,1,Conventional Steam Coal,S,387.0,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
6523,16572,Salt River Project,4941.0,Navajo,AZ,NAV1,Conventional Steam Coal,J,803.1,,,,Announced,,,,Arizona Public Service Co,0.14,U S Bureau of Reclamation,0.243,Los Angeles Department of Water & Power,0.212,Nevada Power Co,0.113,Salt River Project,0.217
6524,16572,Salt River Project,4941.0,Navajo,AZ,NAV2,Conventional Steam Coal,J,803.1,,,,Announced,2019.0,,,Arizona Public Service Co,0.14,U S Bureau of Reclamation,0.243,Los Angeles Department of Water & Power,0.212,Nevada Power Co,0.113,Salt River Project,0.217
6525,16572,Salt River Project,4941.0,Navajo,AZ,NAV3,Conventional Steam Coal,J,803.1,,,,Announced,2019.0,,,Arizona Public Service Co,0.14,U S Bureau of Reclamation,0.243,Nevada Power Co,0.113,Salt River Project,0.429,,
6532,195,Alabama Power Co,6002.0,James H Miller Jr,AL,1,Conventional Steam Coal,J,705.5,,,,Other Remaining,,,,Alabama Power Co,0.9184000000000002,,,,,,,,
6533,195,Alabama Power Co,6002.0,James H Miller Jr,AL,2,Conventional Steam Coal,J,705.5,,,,Other Remaining,,,,Alabama Power Co,0.9184000000000002,,,,,,,,
6534,195,Alabama Power Co,6002.0,James H Miller Jr,AL,3,Conventional Steam Coal,S,705.5,,,,Other Remaining,,,,,,,,,,,,,
6535,195,Alabama Power Co,6002.0,James H Miller Jr,AL,4,Conventional Steam Coal,S,705.5,,,,Other Remaining,,,,,,,,,,,,,
6536,23279,Allegheny Energy Supply Co LLC,6004.0,FirstEnergy Pleasants Power Station,WV,1,Conventional Steam Coal,W,684.0,,,,,,,,FirstEnergy Generation Corp,1.0,,,,,,,,
6537,23279,Allegheny Energy Supply Co LLC,6004.0,FirstEnergy Pleasants Power Station,WV,2,Conventional Steam Coal,W,684.0,,,,,,,,FirstEnergy Generation Corp,1.0,,,,,,,,
6543,814,Entergy Arkansas Inc,6009.0,White Bluff,AR,1,Conventional Steam Coal,J,900.0,,,,Announced,,,-26.0,Arkansas Electric Coop Corp,0.35,Entergy Arkansas Inc,0.57,,,,,,
6544,814,Entergy Arkansas Inc,6009.0,White Bluff,AR,2,Conventional Steam Coal,J,900.0,,,,Announced,,-2.0,-32.0,Arkansas Electric Coop Corp,0.35,Entergy Arkansas Inc,0.57,,,,,,
6553,49756,Illinois Power Resources Generating LLC,6016.0,Duck Creek,IL,1,Conventional Steam Coal,S,441.0,,,,2025 Vulnerable,2020.0,,,,,,,,,,,,
6554,520,Illinois Power Generating Co,6017.0,Newton,IL,1,Conventional Steam Coal,S,617.4,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
6555,55729,Duke Energy Kentucky Inc,6018.0,East Bend,KY,2,Conventional Steam Coal,S,772.0,,,,Other Remaining,,,,,,,,,,,,,
6556,59920,Dynegy W H Zimmer,6019.0,W H Zimmer,OH,ST1,Conventional Steam Coal,S,1425.6,,,,Other Remaining,,,,,,,,,,,,,
6558,30151,"Tri-State G & T Assn, Inc",6021.0,Craig (CO),CO,1,Conventional Steam Coal,J,446.4,23255258.62,2025.0,68.71991820000001,Announced,,,,PacifiCorp,0.1928,Platte River Power Authority,0.18,Salt River Project,0.29,"Tri-State G & T Assn, Inc",0.24,,
6559,30151,"Tri-State G & T Assn, Inc",6021.0,Craig (CO),CO,2,Conventional Steam Coal,J,446.4,39072920.89,2039.0,59.21128675,2020 Vulnerable,2025.0,,,PacifiCorp,0.1928,Platte River Power Authority,0.18,Salt River Project,0.29,"Tri-State G & T Assn, Inc",0.24,,
6560,30151,"Tri-State G & T Assn, Inc",6021.0,Craig (CO),CO,3,Conventional Steam Coal,S,534.8,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
6567,7570,Great River Energy,6030.0,Coal Creek,ND,1,Conventional Steam Coal,S,604.8,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
6568,7570,Great River Energy,6030.0,Coal Creek,ND,2,Conventional Steam Coal,S,604.8,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
6571,4922,Dayton Power & Light Co,6031.0,Killen Station,OH,2,Conventional Steam Coal,J,660.6,,,,,,,,AES Ohio Generation LLC,0.67,"Dynegy Energy Services, LLC",0.33,,,,,,
6581,5109,DTE Electric Company,6034.0,Belle River,MI,ST1,Conventional Steam Coal,J,697.5,,,,2020 Vulnerable,2029.0,,,DTE Electric Company,0.8138999999999998,Michigan Public Power Agency,0.1861,,,,,,
6582,5109,DTE Electric Company,6034.0,Belle River,MI,ST2,Conventional Steam Coal,J,697.5,,,,2020 Vulnerable,2030.0,,,DTE Electric Company,0.8138999999999998,Michigan Public Power Agency,0.1861,,,,,,
6593,5580,"East Kentucky Power Coop, Inc",6041.0,H L Spurlock,KY,1,Conventional Steam Coal,S,357.6,,,,Other Remaining,,,,,,,,,,,,,
6594,5580,"East Kentucky Power Coop, Inc",6041.0,H L Spurlock,KY,2,Conventional Steam Coal,S,592.1,,,,Other Remaining,,,,,,,,,,,,,
6595,5580,"East Kentucky Power Coop, Inc",6041.0,H L Spurlock,KY,3,Conventional Steam Coal,S,329.4,,,,Other Remaining,,,,,,,,,,,,,
6596,5580,"East Kentucky Power Coop, Inc",6041.0,H L Spurlock,KY,4,Conventional Steam Coal,S,329.4,,,,Other Remaining,,,,,,,,,,,,,
6635,7140,Georgia Power Co,6052.0,Wansley,GA,1,Conventional Steam Coal,J,952.0,240878958.6,2054.0,64.07013377,2020 Vulnerable,2025.0,,,Georgia Power Co,0.535,Municipal Electric Authority,0.151,Oglethorpe Power Corporation,0.3,,,,
6636,7140,Georgia Power Co,6052.0,Wansley,GA,2,Conventional Steam Coal,J,952.0,433281459.5,2052.0,108.62353359999999,2020 Vulnerable,2025.0,,,Georgia Power Co,0.535,Municipal Electric Authority,0.151,Oglethorpe Power Corporation,0.3,,,,
6638,11252,Louisiana Generating LLC,6055.0,Big Cajun 2,LA,1,Conventional Steam Coal,S,657.9,,,,Announced,,,,,,,,,,,,,
6640,11252,Louisiana Generating LLC,6055.0,Big Cajun 2,LA,3,Conventional Steam Coal,J,619.0,,,,2020 Vulnerable,2024.0,,,Entergy Louisiana LLC,0.2415,Louisiana Generating LLC,0.58,Entergy Texas Inc.,0.1785,,,,
6651,17568,Cooperative Energy,6061.0,R D Morrow,MS,1,Conventional Steam Coal,S,200.0,,,,,,,,,,,,,,,,,
6652,17568,Cooperative Energy,6061.0,R D Morrow,MS,2,Conventional Steam Coal,S,200.0,,,,,,,,,,,,,,,,,
6656,9996,City of Kansas City - (KS),6064.0,Nearman Creek,KS,1,Conventional Steam Coal,S,261.0,,,,Other Remaining,,-4.0,-31.0,,,,,,,,,,
6658,10000,Kansas City Power & Light Co,6065.0,Iatan,MO,1,Conventional Steam Coal,J,726.0,,,,Other Remaining,,,,Empire District Electric Co,0.12,Kansas City Power & Light Co,0.7,KCP&L Greater Missouri Operations Co,0.18,,,,
6659,10000,Kansas City Power & Light Co,6065.0,Iatan,MO,2,Conventional Steam Coal,J,914.0,,,,Other Remaining,,,,Empire District Electric Co,0.12,Kansas City Power & Light Co,0.5471,Missouri Jnt Muni.Pwr Elec. Ut. Comm.,0.1176,KCP&L Greater Missouri Operations Co,0.18,,
6660,22500,Westar Energy Inc,6068.0,Jeffrey Energy Center,KS,1,Conventional Steam Coal,J,720.0,,,,2020 Vulnerable,2030.0,,,Kansas Gas & Electric Co,0.2,Westar Energy Inc,0.72,,,,,,
6661,22500,Westar Energy Inc,6068.0,Jeffrey Energy Center,KS,2,Conventional Steam Coal,J,720.0,,,,Other Remaining,,,,Kansas Gas & Electric Co,0.2,Westar Energy Inc,0.72,,,,,,
6662,22500,Westar Energy Inc,6068.0,Jeffrey Energy Center,KS,3,Conventional Steam Coal,J,720.0,,,,Other Remaining,,,,Kansas Gas & Electric Co,0.2,Westar Energy Inc,0.72,,,,,,
6663,11249,Louisville Gas & Electric Co,6071.0,Trimble County,KY,1,Conventional Steam Coal,J,566.1,,,,Other Remaining,,,,Indiana Municipal Power Agency,0.1288,Illinois Municipal Elec Agency,0.1212,Louisville Gas & Electric Co,0.75,,,,
6665,11249,Louisville Gas & Electric Co,6071.0,Trimble County,KY,2,Conventional Steam Coal,J,834.0,,,,Other Remaining,,,,Indiana Municipal Power Agency,0.1288,Illinois Municipal Elec Agency,0.1212,Kentucky Utilities Co,0.6075,Louisville Gas & Electric Co,0.1425,,
6672,12686,Mississippi Power Co,6073.0,Victor J Daniel Jr,MS,1,Conventional Steam Coal,J,548.3,,,,2020 Vulnerable,2024.0,,,Gulf Power Co,0.5,Mississippi Power Co,0.5,,,,,,
6673,12686,Mississippi Power Co,6073.0,Victor J Daniel Jr,MS,2,Conventional Steam Coal,J,548.3,,,,2020 Vulnerable,2024.0,,,Gulf Power Co,0.5,Mississippi Power Co,0.5,,,,,,
6685,15298,Talen Montana LLC,6076.0,Colstrip,MT,1,Conventional Steam Coal,J,358.0,,,,Announced,,,,Talen Montana LLC,0.5,Puget Sound Energy Inc,0.5,,,,,,
6686,15298,Talen Montana LLC,6076.0,Colstrip,MT,2,Conventional Steam Coal,J,358.0,,,,Announced,,,,Talen Montana LLC,0.5,Puget Sound Energy Inc,0.5,,,,,,
6687,15298,Talen Montana LLC,6076.0,Colstrip,MT,3,Conventional Steam Coal,J,778.0,,,,2020 Vulnerable,2025.0,,,Portland General Electric Co,0.2,Talen Montana LLC,0.3,Puget Sound Energy Inc,0.25,Avista Corp,0.15,,
